DIM,DUR_SECONDS
2,0.0041
3,0.0038
4,0.0028
5,0.0031
6,0.0038
7,0.0043
8,0.0046
9,0.0051
10,0.0048
11,0.0059
12,0.0064
13,0.0061
14,0.0064
15,0.0063
16,0.0067
17,0.0070
18,0.0069
19,0.0072
20,0.0077
21,0.0078
22,0.0079
23,0.0084
24,0.0086
25,0.0087
26,0.0090
27,0.0097
28,0.0092
29,0.0101
30,0.0104
31,0.0107
32,0.0107
33,0.0110
34,0.0111
35,0.0112
36,0.0113
37,0.0118
38,0.0146
39,0.0134
40,0.0136
41,0.0127
42,0.0130
43,0.0134
44,0.0136
45,0.0137
46,0.0151
47,0.0156
48,0.0160
49,0.0167
50,0.0167
51,0.0173
52,0.0175
53,0.0179
54,0.0178
55,0.0204
56,0.0211
57,0.0211
58,0.0195
59,0.0207
60,0.0211
61,0.0220
62,0.0214
63,0.0223
64,0.0230
65,0.0224
66,0.0299
67,0.0313
68,0.0278
69,0.0237
70,0.0236
71,0.0266
72,0.0257
73,0.0276
74,0.0278
75,0.0285
76,0.0283
77,0.0288
78,0.0291
79,0.0294
80,0.0375
81,0.0375
82,0.0315
83,0.0307
84,0.0305
85,0.0304
86,0.0313
87,0.0374
88,0.0385
89,0.0400
90,0.0353
91,0.0384
92,0.0381
93,0.0456
94,0.0526
95,0.0453
96,0.0478
97,0.0479
98,0.0484
99,0.0495
100,0.0509
101,0.0417
102,0.0460
103,0.0469
104,0.0475
105,0.0527
106,0.0533
107,0.0543
108,0.0547
109,0.0555
110,0.0569
111,0.0612
112,0.0586
113,0.0591
114,0.0590
115,0.0599
116,0.0596
117,0.0606
118,0.0605
119,0.0705
120,0.0813
121,0.0880
122,0.0875
123,0.0859
124,0.0853
125,0.0886
126,0.0853
127,0.0867
128,0.0930
129,0.0931
130,0.0965
131,0.0984
132,0.1021
133,0.1054
134,0.0997
135,0.0990
136,0.1045
137,0.1021
138,0.1040
139,0.1103
140,0.1090
141,0.1056
142,0.1055
143,0.1056
144,0.1026
145,0.1099
146,0.1098
147,0.1130
148,0.0956
149,0.0952
150,0.0991
151,0.1033
152,0.1207
153,0.1213
154,0.1418
155,0.2065
156,0.1329
157,0.1158
158,0.1311
159,0.1380
160,0.1227
161,0.1756
162,0.1331
163,0.1331
164,0.1962
165,0.1643
166,0.1674
167,0.1567
168,0.1809
169,0.1673
170,0.1797
171,0.1691
172,0.1545
173,0.1834
174,0.1396
175,0.1523
176,0.1769
177,0.1551
178,0.1908
179,0.1705
180,0.1659
181,0.1834
182,0.2070
183,0.2018
184,0.1934
185,0.1718
186,0.1854
187,0.1769
188,0.1888
189,0.1787
190,0.1573
191,0.1592
192,0.1780
